#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00091	151	128	Xh	sp|P26764|RPSF_BACLI RNA polymerase sigma-F factor
VOG00092	91	14	Xu	REFSEQ hypothetical protein
VOG00093	612	507	XhXp	sp|P14243|MTC9_CITFR Type II methyltransferase M.Cfr9I
VOG00094	55	49	Xu	REFSEQ tail protein
VOG00095	36	35	XhXr	sp|P03690|VR2A_BPT4 Protein rIIA
VOG00096	85	22	Xh	sp|Q03307|US20_HCMVT Transmembrane protein HWLF3
VOG00097	31	31	Xu	REFSEQ HNH endonuclease
VOG00098	24	24	XhXpXs	sp|P26700|FIBH_BPP2 Probable tail fiber protein
VOG00099	58	56	XhXp	sp|A0A0S0MX59|AT_BPPAM 5-NmdU N-acetyltransferase
VOG00100	69	57	Xu	REFSEQ hypothetical protein
VOG00101	167	144	Xu	REFSEQ hypothetical protein
VOG00102	65	22	Xu	REFSEQ hypothetical protein
VOG00103	57	37	Xu	REFSEQ hypothetical protein
VOG00104	105	19	Xh	sp|Q5UPR0|YL768_MIMIV Putative ankyrin repeat protein L768
VOG00105	294	248	XhXrXs	sp|P03271|PKG1_ADE05 Packaging protein 1
VOG00106	37	28	Xu	sp|Q5UQL9|YR423_MIMIV Uncharacterized protein R423
VOG00107	165	148	Xu	REFSEQ hypothetical protein
VOG00108	632	628	XhXs	sp|P51767|BPJ_BPP2 Baseplate protein J
VOG00109	34	34	XpXs	sp|Q6XQB2|FIBER_BPT1 Probable tail fiber protein
VOG00110	538	164	Xu	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region
VOG00111	981	978	XhXr	sp|P00970|DNLI_BPT4 DNA ligase
VOG00112	264	193	Xh	sp|Q6QGH9|OBP_BPT5 Putative replication origin binding protein
VOG00113	191	151	Xu	REFSEQ hypothetical protein
VOG00114	830	394	XhXs	sp|P17173|TAP51_BPT4 Baseplate hub assembly protein gp51
VOG00115	174	166	Xr	sp|P59217|TERL_BPSF5 Putative terminase large subunit
VOG00116	46	42	Xu	REFSEQ hypothetical protein
VOG00117	235	230	Xu	sp|P32278|Y10B_BPT4 Uncharacterized 11.0 kDa protein in Gp24-hoc intergenic region
VOG00118	301	268	Xs	sp|P03740|TFA_LAMBD Tail fiber assembly protein
VOG00119	55	21	Xu	REFSEQ hypothetical protein
VOG00120	161	158	XhXs	sp|Q7Y5D9|FIBL2_BPT5 Collar protein p132
VOG00121	47	24	XhXs	sp|Q5UQ13|COLL2_MIMIV Collagen-like protein 2
VOG00122	225	224	Xu	REFSEQ hypothetical protein
VOG00123	35	20	Xu	REFSEQ HNH endonuclease
VOG00124	41	8	Xu	REFSEQ virion structural protein
VOG00125	81	81	Xu	REFSEQ hypothetical protein
VOG00126	51	48	Xs	sp|P85991|IGLVP_BPSK9 Ig-like virion protein
VOG00127	75	75	XhXr	sp|P17312|TERL_BPT4 Terminase, large subunit
VOG00128	909	897	XhXr	sp|P10310|TERL_BPT3 Terminase, large subunit
VOG00129	213	213	Xu	REFSEQ hypothetical protein
VOG00130	461	424	XpXrXs	sp|P13332|TSP_BPT4 Tail sheath protein
VOG00131	263	230	Xu	REFSEQ hypothetical protein
VOG00132	155	153	Xu	sp|O31968|YOMP_BACSU SPbeta prophage-derived uncharacterized protein YomP
VOG00133	41	6	Xu	sp|Q6SWB9|UL11P_HCMVM Protein UL11
VOG00134	53	42	Xu	REFSEQ hypothetical protein
VOG00135	53	39	Xu	sp|O10293|Y030_NPVOP Uncharacterized 52.7 kDa protein
VOG00136	41	40	Xu	sp|O64250|VG59_BPMD2 Gene 59 protein
VOG00137	23	22	Xu	sp|Q5UPT5|YL246_MIMIV Uncharacterized protein L246
VOG00138	95	25	XhXs	sp|Q5UQF0|YL484_MIMIV Putative ankyrin repeat protein L484
VOG00139	66	63	Xu	REFSEQ hypothetical protein
VOG00140	258	183	XhXpXs	sp|P12528|FIBER_BPP22 Tail spike protein
VOG00141	295	295	Xu	REFSEQ immunity repressor
VOG00142	396	395	Xu	sp|O64253|VG61_BPMD2 Gene 61 protein
VOG00143	563	550	Xu	sp|P13309|Y06D_BPT4 Uncharacterized 17.5 kDa protein in tk-vs intergenic region
VOG00144	477	474	Xu	REFSEQ HK97 gp10 family protein
VOG00145	18	18	Xu	REFSEQ tail tape measure protein
VOG00146	128	128	XpXrXs	sp|O48459|DIT_BPSPP Distal tail protein
VOG00147	225	167	XhXpXs	sp|P0DOQ6|DUSP_VARV Dual specificity protein phosphatase H1
VOG00148	363	329	XhXpXr	sp|P12427|DMA_BPT2 DNA adenine methylase
VOG00149	79	79	Xu	sp|Q9T1T1|VP17_BPAPS Putative protein p17
VOG00150	109	103	Xu	REFSEQ hypothetical protein
VOG00151	448	445	Xr	sp|P03014|PINE_ECOLI Serine recombinase PinE
VOG00152	146	146	XpXrXs	sp|Q38584|HCP15_BPSPP Head completion protein gp15
VOG00153	33	33	XhXs	sp|P35986|L2MU_ADE12 Late L2 mu core protein
VOG00154	758	757	Xu	sp|O64214|VG20_BPMD2 Gene 20 protein
VOG00155	109	21	Xu	sp|Q5UPE6|YR069_MIMIV Uncharacterized protein R69
VOG00156	1241	1145	XhXr	sp|P36279|REP_TLCVA Replication-associated protein
VOG00157	70	64	Xu	sp|P03037|RANT_BPP22 Antirepressor protein ant
VOG00158	29	10	Xu	REFSEQ hypothetical protein
VOG00159	52	32	Xh	sp|Q5UQC1|YL232_MIMIV Putative serine/threonine-protein kinase L232
VOG00160	68	62	Xu	REFSEQ hypothetical protein
VOG00161	20	20	Xu	REFSEQ hypothetical protein
VOG00162	147	142	Xu	sp|P20319|V55_BPT3 Gene 5.5 protein
VOG00163	170	169	Xu	REFSEQ hypothetical protein
VOG00164	68	65	XhXp	sp|P09389|MTBB_BPSPB Orphan methyltransferase M.SPBetaI
VOG00165	511	191	Xu	sp|P39507|Y14D_BPT4 Uncharacterized 14.7 kDa protein in frd-Gp32 intergenic region
VOG00166	991	990	XpXrXs	sp|Q05220|PORTL_BPML5 Portal protein
VOG00167	939	921	XrXs	sp|P19727|CAPSB_BPT7 Minor capsid protein
VOG00168	31	24	Xh	sp|Q5UQV3|YL371_MIMIV Putative ankyrin repeat protein L371
VOG00169	104	103	Xu	sp|Q06425|YO83_BPP2 Uncharacterized 10.2 kDa protein in GpA 5'region
VOG00170	64	12	Xu	REFSEQ hypothetical protein
VOG00171	344	340	Xu	sp|P03697|EXO_LAMBD Exonuclease
VOG00172	35	27	Xu	REFSEQ hypothetical protein
VOG00173	189	85	Xu	sp|Q197F3|007R_IIV3 Uncharacterized protein 007R
VOG00174	693	693	Xu	sp|Q05225|VG19_BPML5 Gene 19 protein
VOG00175	126	70	XhXpXs	sp|P16849|UL33_HCMVA G-protein coupled receptor homolog UL33
VOG00176	28	7	Xu	REFSEQ hypothetical protein
VOG00177	165	118	Xr	sp|Q7T6Y0|PCNA_MIMIV Probable DNA polymerase sliding clamp
VOG00178	20	18	XhXs	sp|B0FIH7|FIB11_BPE32 Probable tail fiber protein
VOG00179	26	24	Xu	REFSEQ structural protein
VOG00180	30	28	Xp	sp|F5HGJ3|ARBH_HHV8P Apoptosis regulator Bcl-2 homolog
VOG00181	67	12	Xu	REFSEQ hypothetical protein
VOG00182	25	25	Xu	REFSEQ 3B
VOG00183	147	144	Xu	REFSEQ hypothetical protein
VOG00184	78	78	Xu	REFSEQ hypothetical protein
VOG00185	85	85	Xu	REFSEQ hypothetical protein
VOG00186	48	15	Xu	REFSEQ hypothetical protein
VOG00187	170	170	Xu	sp|P39251|Y16Q_BPT4 Uncharacterized 7.5 kDa protein in denB-rIIB intergenic region
VOG00188	97	88	XhXp	sp|P07693|ADOM_BPT3 S-adenosyl-L-methionine hydrolase
VOG00189	17	16	Xu	REFSEQ hypothetical protein
VOG00190	94	87	Xu	REFSEQ hypothetical protein
VOG00191	24	6	Xu	REFSEQ hypothetical protein
VOG00192	27	15	Xu	REFSEQ hypothetical protein
VOG00193	168	160	Xu	sp|Q5UQ73|YL509_MIMIV Uncharacterized protein L509
VOG00194	107	103	Xu	REFSEQ hypothetical protein
VOG00195	327	327	XhXpXrXs	sp|P03726|EXLYS_BPT7 Peptidoglycan transglycosylase gp16
VOG00196	15	15	Xh	sp|Q6QGL2|TFLIV_BPT5 H-N-H endonuclease F-TflIV
VOG00197	252	249	Xh	sp|Q8ZNY9|PRP1_SALTY Serine/threonine-protein phosphatase 1
VOG00198	145	28	Xp	sp|P26672|A46_VACCW Protein A46
VOG00199	930	926	Xh	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase
VOG00200	59	59	Xu	sp|Q38423|GP30_BPSP1 Gene 30 protein
VOG00201	15	14	XpXs	sp|P07067|FIB37_BPT2 Long tail fiber protein p37
VOG00202	378	350	Xu	sp|B8HPS9|RNH_CYAP4 Ribonuclease H
VOG00203	261	214	Xu	sp|O34401|YOPX_BACSU SPbeta prophage-derived uncharacterized protein YopX
VOG00204	510	503	Xh	sp|P04382|DYR_BPT4 Dihydrofolate reductase
VOG00205	18	10	Xu	sp|Q91G76|VF019_IIV6 Uncharacterized protein 019R
VOG00206	886	886	XhXp	sp|O64205|LYSB_BPMD2 Endolysin B
VOG00207	74	67	Xu	REFSEQ DUF1642 domain-containing protein
VOG00208	22	15	Xu	REFSEQ hypothetical protein
VOG00209	59	25	Xu	REFSEQ putative virion structural protein
VOG00210	291	271	Xu	sp|P32271|Y06L_BPT4 Uncharacterized 17.7 kDa protein in e-segB intergenic region
VOG00211	64	12	Xu	REFSEQ F-box containing protein
VOG00212	155	155	Xu	REFSEQ hypothetical protein
VOG00213	21	21	Xh	sp|P23214|OAC_BPSFV O-acetyl transferase
VOG00214	16	14	Xu	REFSEQ hypothetical protein
VOG00215	70	70	Xu	REFSEQ hypothetical protein
VOG00216	309	307	Xu	sp|P45911|YQAN_BACSU Uncharacterized protein YqaN
VOG00217	144	142	Xu	REFSEQ hypothetical protein
VOG00218	335	331	XhXr	sp|Q07846|VE1_HPV04 Replication protein E1
VOG00219	66	60	Xu	REFSEQ hypothetical protein
VOG00220	119	119	XhXs	sp|Q9E785|MATRX_BEFVB Matrix protein
VOG00221	24	12	Xh	sp|P11107|HEL10_BPT5 Probable helicase D10
VOG00222	218	218	XpXrXs	sp|P03724|GP14_BPT7 Internal virion protein gp14
VOG00223	85	85	Xr	sp|P68928|TERS_BPSF6 Terminase small subunit
VOG00224	36	29	Xu	REFSEQ hypothetical protein
VOG00225	206	206	Xr	sp|P54307|TERS_BPSPP Terminase small subunit
VOG00226	26	26	Xu	REFSEQ hypothetical protein
VOG00227	73	72	XhXp	sp|Q37896|ENLYS_BPB03 Endolysin
VOG00228	60	57	Xu	sp|P06022|ACTC_BPMU Late transcription activator C
VOG00229	505	472	Xh	sp|P32277|RLIG2_BPT4 RNA ligase 2
VOG00230	203	203	Xu	REFSEQ holin
VOG00231	17	17	Xh	sp|Q37976|AEPE_BPA18 L-alanyl-D-glutamate peptidase
VOG00232	33	33	Xh	sp|P44662|Y361_HAEIN Probable iron transport system ATP-binding protein HI_0361
VOG00233	112	38	Xh	sp|Q5UQC9|UBC1_MIMIV Probable ubiquitin-conjugating enzyme E2 L460
VOG00234	117	113	Xu	REFSEQ hypothetical protein
VOG00235	78	70	Xu	REFSEQ hypothetical protein
VOG00236	230	148	Xu	sp|P39240|Y05I_BPT4 Uncharacterized 21.1 kDa protein in mobD-ri intergenic region
VOG00237	93	93	Xu	REFSEQ hypothetical protein
VOG00238	53	46	Xu	REFSEQ hypothetical protein
VOG00239	91	91	XhXr	sp|P32270|DDA_BPT4 ATP-dependent DNA helicase dda
VOG00240	15	15	XhXpXs	sp|P03748|FIBER_BPT7 Tail fiber protein
VOG00241	152	151	Xu	REFSEQ hypothetical protein
VOG00242	401	393	Xh	sp|D2XNR2|FLOT6_MEDTR Flotillin-like protein 6
VOG00243	121	121	XhXr	sp|P03707|TERS_LAMBD Terminase small subunit
VOG00244	384	381	Xu	sp|P39242|Y05G_BPT4 Uncharacterized 38.9 kDa protein in nrdC-mobD intergenic region
VOG00245	187	153	Xh	sp|O64252|PRXH_BPMD2 Putative non-heme haloperoxidase
VOG00246	102	58	XhXs	sp|P21057|A34_VACCC Protein A34
VOG00247	48	48	Xh	sp|Q2FX77|LYTO_STAA8 Probable autolysin LytO
VOG00248	29	24	Xu	REFSEQ hypothetical protein
VOG00249	37	25	Xu	REFSEQ hypothetical protein
VOG00250	48	28	Xu	REFSEQ HNH endonuclease
VOG00251	102	74	Xu	sp|Q8QL20|Y356_SIRV1 Uncharacterized protein 356
VOG00252	20	19	Xu	sp|Q27YG8|YORF3_NORAV Uncharacterized ORF3 protein
VOG00253	28	28	Xu	REFSEQ hypothetical protein
VOG00254	33	28	Xu	REFSEQ hypothetical protein
VOG00255	151	145	Xu	REFSEQ hypothetical protein
VOG00256	260	198	Xs	sp|D6RRG7|ORF10_BPKPP Structural protein ORF10
VOG00257	59	59	Xu	REFSEQ hypothetical protein
VOG00258	229	229	Xu	REFSEQ DUF4054 domain-containing protein
VOG00259	479	479	Xh	sp|O48499|D14_BPT5 Protein D14
VOG00260	234	233	Xu	REFSEQ hypothetical protein
VOG00261	255	254	Xu	REFSEQ hypothetical protein
VOG00262	27	27	XhXr	sp|P10277|PRIM_BPP4 Putative P4-specific DNA primase
VOG00263	49	21	Xu	REFSEQ putative radical SAM superfamily protein
VOG00264	30	24	Xs	sp|Q5UQN7|CAPS3_MIMIV Probable capsid protein 3
VOG00265	65	62	XhXp	sp|Q3T4L9|HOLIN_BPPRD Holin
VOG00266	13	13	Xu	REFSEQ esterase
VOG00267	48	36	Xh	sp|P23992|TOPS_BPT4 DNA topoisomerase small subunit
VOG00268	21	13	Xh	sp|I1S2K2|CHITO_GIBZE Chitooligosaccharide oxidase
VOG00269	152	150	Xu	sp|Q05292|VG77_BPML5 Gene 77 protein
VOG00270	202	199	Xu	REFSEQ tail protein
VOG00271	76	49	Xu	REFSEQ hypothetical protein
VOG00272	29	29	Xu	REFSEQ hypothetical protein
VOG00273	74	43	Xu	sp|P03049|RMNT_BPP22 Regulatory protein mnt
VOG00274	118	70	Xu	sp|A4GZ95|ORF3_TTVG1 Uncharacterized ORF3 protein
VOG00275	91	91	Xu	REFSEQ holin
VOG00276	26	24	Xu	REFSEQ hypothetical protein
VOG00277	850	792	XhXr	sp|Q38087|DPOL_BPR69 DNA-directed DNA polymerase
VOG00278	35	19	XhXp	sp|Q77MQ6|IL8H_GAHVM Viral interleukin-8 homolog
VOG00279	92	90	Xh	sp|C7IZ16|GNA2_ORYSJ Probable glucosamine 6-phosphate N-acetyltransferase 2
VOG00280	618	617	Xu	sp|O31948|YONJ_BACSU SPbeta prophage-derived uncharacterized protein YonJ
VOG00281	143	78	Xu	REFSEQ hypothetical protein
VOG00282	132	131	Xu	REFSEQ hypothetical protein
VOG00283	78	56	Xu	REFSEQ hypothetical protein
VOG00284	173	96	Xu	REFSEQ hypothetical protein
VOG00285	42	40	Xu	REFSEQ hypothetical protein
VOG00286	89	89	Xu	REFSEQ hypothetical protein
VOG00287	18	3	Xu	REFSEQ hypothetical protein
VOG00288	17	3	Xu	REFSEQ hypothetical protein
VOG00289	31	9	Xu	REFSEQ hypothetical protein
VOG00290	34	29	XhXr	sp|P36693|TERL_BPP21 Terminase, large subunit
VOG00291	20	10	Xu	REFSEQ hypothetical protein
VOG00292	116	116	Xu	REFSEQ hypothetical protein
VOG00293	974	752	Xr	sp|P00471|TYSY_BPT4 Thymidylate synthase
VOG00294	15	15	Xu	sp|Q5UPT4|YL247_MIMIV Uncharacterized HNH endonuclease L247
VOG00295	345	345	XhXs	sp|D6RRG1|CAPSD_BPKPP Major capsid protein
VOG00296	39	38	Xu	sp|P03798|Y53_BPT7 Protein 5.3
VOG00297	358	356	XhXpXs	sp|P31340|SPIKE_BPP2 Spike protein
VOG00298	1070	786	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG00299	342	144	Xu	sp|P39254|Y04O_BPT4 Uncharacterized 36.3 kDa protein in nrdC-mobD intergenic region
VOG00300	61	43	Xu	sp|Q8QL40|Y59_SIRV1 Uncharacterized protein 59
VOG00301	21	21	XhXs	sp|Q38442|GP7_BPSPP Minor head protein GP7
VOG00302	31	31	Xu	REFSEQ LexA family transcriptional regulator
VOG00303	637	378	XhXs	sp|P04535|CAPSH_BPT4 Major capsid protein
VOG00304	945	944	Xs	sp|Q05229|VG23_BPML5 Major tail protein Gp23
VOG00305	67	60	Xu	sp|Q05287|VG72_BPML5 Gene 72 protein
VOG00306	123	118	XhXr	sp|O57044|RDRP_HV19S Probable RNA-directed RNA polymerase
VOG00307	32	32	Xh	sp|I6XEI5|LYS25_MYCTU Putative peptidoglycan hydrolase Rv2525c
VOG00308	22	11	Xu	REFSEQ ORF14
VOG00309	60	52	Xu	REFSEQ hypothetical protein
VOG00310	200	163	XhXs	sp|P0DOL5|E10_VAR67 Probable FAD-linked sulfhydryl oxidase E10
VOG00311	21	11	Xh	sp|Q9C5U0|AHK4_ARATH Histidine kinase 4
VOG00312	22	20	Xu	REFSEQ hypothetical protein
VOG00313	241	241	Xu	REFSEQ hypothetical protein
VOG00314	71	71	XhXrXs	sp|P0CJ94|MVP_BCMNN P3N-PIPO polyprotein
VOG00315	58	57	Xu	REFSEQ hypothetical protein
VOG00316	158	88	Xu	sp|O10373|Y145_NPVOP Uncharacterized 11.0 kDa protein
VOG00317	61	61	Xu	sp|P68661|YBCO_ECOLI Putative nuclease YbcO
VOG00318	168	93	Xu	REFSEQ high light inducible protein
VOG00319	743	742	Xh	sp|O21902|SSB_BPLSK SSB protein
VOG00320	48	24	Xu	REFSEQ hypothetical protein
VOG00321	13	11	Xu	REFSEQ hypothetical protein
VOG00322	123	121	Xu	REFSEQ hypothetical protein
VOG00323	12	12	Xu	REFSEQ tail fibers protein
VOG00324	38	38	Xu	REFSEQ hypothetical protein
VOG00325	13	13	Xu	REFSEQ hypothetical protein
VOG00326	85	70	Xs	sp|Q89250|CPRT_SBWMN 84 kDa readthrough protein
VOG00327	50	48	Xh	sp|Q07G10|ALKB8_XENTR Alkylated DNA repair protein alkB homolog 8
VOG00328	160	133	Xu	sp|O34449|YOQD_BACSU SPbeta prophage-derived putative antirepressor protein YoqD
VOG00329	70	70	Xu	REFSEQ hypothetical protein
VOG00330	67	67	Xu	sp|P03766|Y290_LAMBD Uncharacterized nin region protein ORF290
VOG00331	92	92	Xu	REFSEQ hypothetical protein
VOG00332	140	140	Xs	sp|O48448|COMPL_BPSPP Tail completion protein gp17
VOG00333	69	69	Xu	sp|O48429|REGQ_BPH19 Antitermination protein Q
VOG00334	130	85	Xu	sp|P03756|EA22_LAMBD Protein ea22
VOG00335	74	64	Xu	REFSEQ hypothetical protein
VOG00336	833	447	Xh	sp|A0QTG3|WHIB2_MYCS2 Transcriptional regulator WhiB2
VOG00337	60	59	Xu	REFSEQ DUF771 domain-containing protein
VOG00338	27	14	XhXpXrXs	sp|C0MHL9|POLG_SAFV Genome polyprotein
VOG00339	143	111	XhXpXs	sp|P33059|H3_VAR67 Envelope protein H3
VOG00340	28	28	Xu	REFSEQ hypothetical protein
VOG00341	114	113	XhXp	sp|P03706|ENLYS_LAMBD Endolysin
VOG00342	728	724	Xp	sp|P04521|EXO1_BPT4 Exonuclease subunit 1
VOG00343	89	89	Xu	REFSEQ hypothetical protein
VOG00344	231	231	Xu	REFSEQ hypothetical protein
VOG00345	747	747	Xu	sp|O64262|VG69_BPMD2 Gene 69 protein
VOG00346	41	25	Xh	sp|P32231|VC01_SWPVK Putative Ig-like domain-containing protein C1
VOG00347	65	32	Xh	sp|Q6GZV6|019R_FRG3G Putative serine/threonine-protein kinase 019R
